,Drain Voltage,Drain Current,Drain Time
"1,525",-6.00E-01,-2.63E-03,10.010470
"1,526",-6.00E-01,-2.63E-03,10.010490
"1,527",-6.00E-01,-2.63E-03,10.010510
"1,528",-6.00E-01,-2.63E-03,10.010530
"1,529",-6.00E-01,-2.63E-03,10.010550
"1,530",-6.00E-01,-2.63E-03,10.010570
"1,531",-6.00E-01,-2.63E-03,10.010590
"1,532",-6.00E-01,-2.63E-03,10.010610
"1,533",-6.00E-01,-2.63E-03,10.010630
"1,534",-6.00E-01,-2.63E-03,10.010650
"1,535",-6.00E-01,-2.63E-03,10.010670
"1,536",-6.00E-01,-2.63E-03,10.010690
